20:36:29  > Machine.powerOn()                   | First boot of engima machine
20:36:29  > FullPassThrough()                   |  - 15(P) > [UKW] > 8(I)
20:36:29  > FullPassThrough()                   |  - 8(I) > [COG 2 -R] > 25(Z)
20:36:29  > FullPassThrough()                   |  - 25(Z) > [COG 1 -R] > 16(Q)
20:36:29  > FullPassThrough()                   |  - 16(Q) > [COG 0 -R] > 16(Q)
20:36:29  > FullPassThrough()                   |  - 16(Q) > [Switchboard-R] > 1(B)
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - 2(C) > [Switchboard-F] > 17(R)
20:36:29  > FullPassThrough()                   |  - 17(R) > [COG 0 -F] > 6(G)
20:36:29  > FullPassThrough()                   |  - 6(G) > [COG 1 -F] > 0(A)
20:36:29  > FullPassThrough()                   |  - 0(A) > [COG 2 -F] > 24(Y)
20:36:29  > FullPassThrough()                   |  - 24(Y) > [UKW] > 0(A)
20:36:29  > FullPassThrough()                   |  - 0(A) > [COG 2 -R] > 11(L)
20:36:29  > FullPassThrough()                   |  - 11(L) > [COG 1 -R] > 7(H)
20:36:29  > FullPassThrough()                   |  - 7(H) > [COG 0 -R] > 4(E)
20:36:29  > FullPassThrough()                   |  - 4(E) > [Switchboard-R] > 9(J)
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - 10(K) > [Switchboard-F] > 22(W)
20:36:29  > FullPassThrough()                   |  - 22(W) > [COG 0 -F] > 13(N)
20:36:29  > FullPassThrough()                   |  - 13(N) > [COG 1 -F] > 20(U)
20:36:29  > FullPassThrough()                   |  - 20(U) > [COG 2 -F] > 9(J)
20:36:29  > FullPassThrough()                   |  - 9(J) > [UKW] > 23(X)
20:36:29  > FullPassThrough()                   |  - 23(X) > [COG 2 -R] > 10(K)
20:36:29  > FullPassThrough()                   |  - 10(K) > [COG 1 -R] > 5(F)
20:36:29  > FullPassThrough()                   |  - 5(F) > [COG 0 -R] > 16(Q)
